nm,VNIR_B1,VNIR_B2,VNIR_B3N,VNIR_B3B,SWIR_B4,SWIR_B5,SWIR_B6,SWIR_B7,SWIR_B8,SWIR_B9
1612,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0,0.827,0.0,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0,0.848,0.0,0.0,0.0,0.0,0.0
1624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1625,0.0,0.0,0.0,0.0,0.901,0.0,0.0,0.0,0.0,0.0
1628,0.0,0.0,0.0,0.0,0.905,0.0,0.0,0.0,0.0,0.0
1630,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0
1632,0.0,0.0,0.0,0.0,0.914,0.0,0.0,0.0,0.0,0.0
1635,0.0,0.0,0.0,0.0,0.905,0.0,0.0,0.0,0.0,0.0
1638,0.0,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0,0.0
1640,0.0,0.0,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0
1642,0.0,0.0,0.0,0.0,0.967,0.0,0.0,0.0,0.0,0.0
1645,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.0
1648,0.0,0.0,0.0,0.0,0.984,0.0,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.0
1652,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.0
1655,0.0,0.0,0.0,0.0,0.988,0.0,0.0,0.0,0.0,0.0
1658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1660,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.0,0.0,0.0
1662,0.0,0.0,0.0,0.0,0.984,0.0,0.0,0.0,0.0,0.0
1665,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.0
1668,0.0,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.0
1670,0.0,0.0,0.0,0.0,0.947,0.0,0.0,0.0,0.0,0.0
1672,0.0,0.0,0.0,0.0,0.951,0.0,0.0,0.0,0.0,0.0
1675,0.0,0.0,0.0,0.0,0.945,0.0,0.0,0.0,0.0,0.0
1678,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0
1680,0.0,0.0,0.0,0.0,0.934,0.0,0.0,0.0,0.0,0.0
1682,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
1685,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.0
1688,0.0,0.0,0.0,0.0,0.942,0.0,0.0,0.0,0.0,0.0
1690,0.0,0.0,0.0,0.0,0.914,0.0,0.0,0.0,0.0,0.0
1692,0.0,0.0,0.0,0.0,0.897,0.0,0.0,0.0,0.0,0.0
