nm,Green,Red,NIR1,NIR2
938,0.0,0.0,0.0,0.88133333
939,0.0,0.0,0.0,0.87783333
940,0.0,0.0,0.0,0.87416667
941,0.0,0.0,0.0,0.87083333
942,0.0,0.0,0.0,0.86766667
943,0.0,0.0,0.0,0.86366667
944,0.0,0.0,0.0,0.86
945,0.0,0.0,0.0,0.85533333
946,0.0,0.0,0.0,0.85183333
947,0.0,0.0,0.0,0.84966667
948,0.0,0.0,0.0,0.84683333
949,0.0,0.0,0.0,0.843
950,0.0,0.0,0.0,0.83666667
951,0.0,0.0,0.0,0.8335
952,0.0,0.0,0.0,0.83083333
953,0.0,0.0,0.0,0.8265
954,0.0,0.0,0.0,0.82216667
955,0.0,0.0,0.0,0.8185
956,0.0,0.0,0.0,0.81566667
957,0.0,0.0,0.0,0.81133333
958,0.0,0.0,0.0,0.80833333
959,0.0,0.0,0.0,0.80466667
960,0.0,0.0,0.0,0.80116667
961,0.0,0.0,0.0,0.79683333
962,0.0,0.0,0.0,0.793
963,0.0,0.0,0.0,0.7895
964,0.0,0.0,0.0,0.78716667
965,0.0,0.0,0.0,0.78233333
966,0.0,0.0,0.0,0.77766667
967,0.0,0.0,0.0,0.77316667
968,0.0,0.0,0.0,0.76933333
969,0.0,0.0,0.0,0.76566667
970,0.0,0.0,0.0,0.76316667
971,0.0,0.0,0.0,0.7605
972,0.0,0.0,0.0,0.75516667
973,0.0,0.0,0.0,0.75183333
974,0.0,0.0,0.0,0.7465
975,0.0,0.0,0.0,0.7425
976,0.0,0.0,0.0,0.738
977,0.0,0.0,0.0,0.73516667
978,0.0,0.0,0.0,0.73083333
979,0.0,0.0,0.0,0.72583333
980,0.0,0.0,0.0,0.72016667
981,0.0,0.0,0.0,0.71333333
982,0.0,0.0,0.0,0.70833333
983,0.0,0.0,0.0,0.70216667
984,0.0,0.0,0.0,0.69716667
985,0.0,0.0,0.0,0.69033333
986,0.0,0.0,0.0,0.68516667
987,0.0,0.0,0.0,0.67916667
988,0.0,0.0,0.0,0.67366667
989,0.0,0.0,0.0,0.6695
990,0.0,0.0,0.0,0.6635
991,0.0,0.0,0.0,0.657
992,0.0,0.0,0.0,0.65183333
993,0.0,0.0,0.0,0.64566667
994,0.0,0.0,0.0,0.64066667
995,0.0,0.0,0.0,0.636
996,0.0,0.0,0.0,0.62866667
997,0.0,0.0,0.0,0.6225
998,0.0,0.0,0.0,0.61733333
999,0.0,0.0,0.0,0.612
1000,0.0,0.0,0.0,0.60433333
1001,0.0,0.0,0.0,0.599
1002,0.0,0.0,0.0,0.59416667
1003,0.0,0.0,0.0,0.59033333
1004,0.0,0.0,0.0,0.58533333
1005,0.0,0.0,0.0,0.58
1006,0.0,0.0,0.0,0.57333333
1007,0.0,0.0,0.0,0.568
1008,0.0,0.0,0.0,0.56333333
1009,0.0,0.0,0.0,0.55616667
1010,0.0,0.0,0.0,0.5495
1011,0.0,0.0,0.0,0.544
1012,0.0,0.0,0.0,0.539
1013,0.0,0.0,0.0,0.5345
1014,0.0,0.0,0.0,0.52883333
1015,0.0,0.0,0.0,0.52316667
1016,0.0,0.0,0.0,0.51733333
1017,0.0,0.0,0.0,0.511
1018,0.0,0.0,0.0,0.50716667
1019,0.0,0.0,0.0,0.50316667
1020,0.0,0.0,0.0,0.49933333
1021,0.0,0.0,0.0,0.49566667
1022,0.0,0.0,0.0,0.49116667
1023,0.0,0.0,0.0,0.48783333
1024,0.0,0.0,0.0,0.48383333
1025,0.0,0.0,0.0,0.4805
1026,0.0,0.0,0.0,0.47666667
1027,0.0,0.0,0.0,0.4735
1028,0.0,0.0,0.0,0.4695
1029,0.0,0.0,0.0,0.46633333
1030,0.0,0.0,0.0,0.46216667
1031,0.0,0.0,0.0,0.45783333
1032,0.0,0.0,0.0,0.453
1033,0.0,0.0,0.0,0.44933333
1034,0.0,0.0,0.0,0.44633333
1035,0.0,0.0,0.0,0.4435
1036,0.0,0.0,0.0,0.44116667
1037,0.0,0.0,0.0,0.43683333
1038,0.0,0.0,0.0,0.43183333
1039,0.0,0.0,0.0,0.42466667
1040,0.0,0.0,0.0,0.42183333
1041,0.0,0.0,0.0,0.417
1042,0.0,0.0,0.0,0.41366667
1043,0.0,0.0,0.0,0.40833333
1044,0.0,0.0,0.0,0.40266667
1045,0.0,0.0,0.0,0.3975
1046,0.0,0.0,0.0,0.39316667
1047,0.0,0.0,0.0,0.3885
