nm,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Band 10,Band 11,Band 12,Band 13,Band 14,Band 15,Band 16,Band 17,Band 18,Band 19
520,1.747e-05,3.136e-05,0.00038595,0.00070809,0.0,0.0,0.0,0.00186628,0.00044891,0.00012274,0.0199953,0.0008841,6.4e-06,4.07e-06,1.67e-06,3.78e-06,2.432e-05,3.25e-05,3.067e-05
521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,0.0,0.0,0.0,0.00016537,0.0,0.0,0.0,0.0,0.0,0.0,0.797048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,0.0,0.0,0.0,0.0001575,0.0,0.0,0.0,0.0,0.0,0.0,0.94981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,0.0,0.0,0.0,0.0002117,0.0,0.0,0.0,0.0,0.0,0.0,0.981414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,0.0,0.0,0.0,0.00023028,0.0,0.0,0.0,0.0,0.0,0.0,0.97637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,0.0,0.0,0.0,0.00019084,0.0,0.0,0.0,0.0,0.0,0.0,0.994017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,1.921e-05,3.055e-05,0.00038166,0.00025182,0.0,0.0,0.0,0.00050945,0.00048134,0.00014127,1.0,0.00158325,4.38e-06,4.08e-06,2.32e-06,6.85e-06,2.64e-05,2.227e-05,4.145e-05
531,0.0,0.0,0.0,0.00035911,0.0,0.0,0.0,0.0,0.0,0.0,0.979251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,0.00040436,0.0,0.0,0.0,0.0,0.0,0.0,0.929473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,0.0,0.0,0.0,0.0005428,0.0,0.0,0.0,0.0,0.0,0.0,0.853851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,0.0,0.0,0.0,0.00072389,0.0,0.0,0.0,0.0,0.0,0.0,0.749499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,0.0,0.0,0.0,0.00093883,0.0,0.0,0.0,0.0,0.0,0.0,0.608954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,0.0,0.0,0.0,0.00149662,0.0,0.0,0.0,0.0,0.0,0.0,0.426368,0.00262217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,0.0,0.0,0.0,0.00251636,0.0,0.0,0.0,0.0,0.0,0.0,0.228721,0.00815978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,0.0,0.0,0.0,0.00489088,0.0,0.0,0.0,0.0,0.0,0.0,0.0876152,0.0308496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,0.0,0.0,0.0,0.0115476,0.0,0.0,0.0,0.0,0.0,0.0,0.0300316,0.0950109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,1.896e-05,3.63e-05,0.00038856,0.0304012,0.0,0.0,0.0,0.00058925,0.00057241,0.00020031,0.0121307,0.209827,3.71e-06,4.93e-06,2.32e-06,2.89e-06,2.897e-05,7.32e-06,2.077e-05
541,0.0,0.0,0.0,0.0786975,0.0,0.0,0.0,0.0,0.0,0.0,0.00527154,0.373967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,0.0,0.0,0.0,0.182201,0.0,0.0,0.0,0.0,0.0,0.0,0.00243814,0.583985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,0.0,0.0,0.0,0.350661,0.0,0.0,0.0,0.0,0.0,0.0,0.0012785,0.796494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,0.0,0.0,0.0,0.566436,0.0,0.0,0.0,0.0,0.0,0.0,0.0005632,0.944913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,0.0,0.0,0.0,0.769634,0.0,0.0,0.0,0.0,0.0,0.0,0.00023766,0.987884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0.0,0.0,0.0,0.909875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,0.0,0.0,0.0,0.97297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,0.0,0.0,0.0,0.992396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,0.0,0.0,0.0,0.998384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,2.295e-05,3.66e-05,0.00040863,1.0,0.0,0.0,0.0,0.00059737,0.00050829,0.0002873,0.00118021,0.837459,3.23e-06,5.26e-06,1.77e-06,3.25e-06,3.941e-05,1.461e-05,4.439e-05
551,0.0,0.0,0.0,0.995265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,0.0,0.0,0.0,0.986303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,0.0,0.0,0.0,0.974737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,0.0,0.0,0.0,0.968763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,0.0,0.0,0.0,0.96809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,0.0,0.0,0.0,0.973408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00901877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,0.0,0.0,0.0,0.983348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,0.0,0.0,0.0,0.9879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00158635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,0.0,0.0,0.0,0.982297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,1.813e-05,3.38e-05,0.00067108,0.962784,0.0,0.0,0.0,0.00053853,0.00013373,0.00038596,0.00082789,0.00058758,2.21e-06,4.39e-06,1.1e-06,3.89e-06,2.038e-05,1.645e-05,5.209e-05
561,0.0,0.0,0.0,0.905679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,0.0,0.0,0.0,0.789595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,0.0,0.0,0.0,0.613405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
