nm,Band_1p,Band_1,Band_2,Band_3,Band_4,Band_4p,Band_5p,Band_5,Band_7,Pan
666,0.0,0.0,0.0,0.94172,0.0,0.0,0.0,0.0,0.0,0.84001
667,0.0,0.0,0.0,0.93366,0.0,0.0,0.0,0.0,0.0,0.81078
668,0.0,0.0,0.0,0.9246,0.0,0.0,0.0,0.0,0.0,0.78992
669,0.0,0.0,0.0,0.92369,0.0,0.0,0.0,0.0,0.0,0.78176
670,0.0,0.0,0.0,0.92638,0.0,0.0,0.0,0.0,0.0,0.79121
671,0.0,0.0,0.0,0.93358,0.0,0.0,0.0,0.0,0.0,0.82587
672,0.0,0.0,0.0,0.9479,0.0,0.0,0.0,0.0,0.0,0.87759
673,0.0,0.0,0.0,0.96099,0.0,0.0,0.0,0.0,0.0,0.9253
674,0.0,0.0,0.0,0.97228,0.0,0.0,0.0,0.0,0.0,0.9129
675,0.0,0.0,0.0,0.97591,0.0,0.0,0.0,0.0,0.0,0.78159
676,0.0,0.0,0.0,0.97022,0.0,0.0,0.0,0.0,0.0,0.56647
677,0.0,0.0,0.0,0.96448,0.0,0.0,0.0,0.0,0.0,0.36547
678,0.0,0.0,0.0,0.95961,0.0,0.0,0.0,0.0,0.0,0.22298
679,0.0,0.0,0.0,0.95992,0.0,0.0,0.0,0.0,0.0,0.13749
680,0.0,0.0,0.0,0.96566,0.0,0.0,0.0,0.0,0.0,0.08821
681,0.0,0.0,0.0,0.97469,0.0,0.0,0.0,0.0,0.0,0.05754
682,0.0,0.0,0.0,0.98972,0.0,0.0,0.0,0.0,0.0,0.03915
683,0.0,0.0,0.0,0.99998,0.0,0.0,0.0,0.0,0.0,0.02721
684,0.0,0.0,0.0,0.99968,0.0,0.0,0.0,0.0,0.0,0.01999
685,0.0,0.0,0.0,0.97325,0.0,0.0,0.0,0.0,0.0,0.01494
686,0.0,0.0,0.0,0.91412,0.0,0.0,0.0,0.0,0.0,0.01145
687,0.0,0.0,0.0,0.80932,0.0,0.0,0.0,0.0,0.0,0.00888
688,0.0,0.0,0.0,0.66334,0.0,0.0,0.0,0.0,0.0,0.0072
