WL_nm,CoastalBlue,Blue,Green_i,Green_ii,Yellow,Red,RedEdge,NIR
536,0.0000,0.0000,0.9744,0.0000,0.0000,0.0000,0.0000,0.0000
537,0.0000,0.0000,0.9850,0.0000,0.0000,0.0000,0.0000,0.0000
538,0.0000,0.0000,0.9778,0.0000,0.0000,0.0000,0.0000,0.0000
539,0.0000,0.0007,0.9579,0.0000,0.0000,0.0000,0.0000,0.0000
540,0.0000,0.0005,0.9274,0.0000,0.0000,0.0000,0.0000,0.0000
541,0.0000,0.0005,0.9227,0.0000,0.0000,0.0000,0.0000,0.0000
542,0.0000,0.0005,0.9503,0.0000,0.0000,0.0000,0.0000,0.0000
543,0.0000,0.0005,0.9808,0.0159,0.0000,0.0000,0.0000,0.0000
544,0.0000,0.0005,0.9813,0.1477,0.0000,0.0000,0.0000,0.0000
545,0.0000,0.0005,0.9668,0.2410,0.0000,0.0000,0.0000,0.0000
546,0.0000,0.0005,0.9599,0.3408,0.0000,0.0000,0.0000,0.0000
547,0.0000,0.0005,0.9599,0.6592,0.0000,0.0000,0.0000,0.0000
548,0.0000,0.0005,0.9653,0.9477,0.0000,0.0000,0.0000,0.0000
549,0.0000,0.0005,0.9778,0.9882,0.0000,0.0000,0.0000,0.0000
550,0.0000,0.0005,0.9421,0.9829,0.0000,0.0000,0.0000,0.0000
551,0.0000,0.0005,0.7166,0.9899,0.0000,0.0000,0.0000,0.0000
552,0.0000,0.0005,0.3664,0.9906,0.0000,0.0000,0.0000,0.0000
553,0.0000,0.0005,0.0832,0.9899,0.0000,0.0000,0.0000,0.0000
554,0.0000,0.0005,0.0182,0.9836,0.0000,0.0000,0.0000,0.0000
555,0.0000,0.0005,0.0032,0.9915,0.0000,0.0000,0.0000,0.0000
556,0.0000,0.0005,0.0017,0.9984,0.0000,0.0000,0.0000,0.0000
557,0.0000,0.0005,0.0005,1.0000,0.0000,0.0000,0.0000,0.0000
558,0.0000,0.0005,0.0002,0.9977,0.0000,0.0000,0.0000,0.0000
559,0.0000,0.0005,0.0000,0.9956,0.0000,0.0000,0.0000,0.0000
560,0.0000,0.0005,0.0000,0.9963,0.0000,0.0000,0.0000,0.0000
561,0.0000,0.0005,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000
562,0.0000,0.0005,0.0000,0.9979,0.0000,0.0000,0.0000,0.0000
563,0.0000,0.0005,0.0000,0.9975,0.0000,0.0000,0.0000,0.0000
564,0.0000,0.0005,0.0000,0.9977,0.0000,0.0000,0.0000,0.0000
565,0.0000,0.0005,0.0000,0.9866,0.0000,0.0000,0.0000,0.0000
566,0.0000,0.0005,0.0000,0.9839,0.0000,0.0000,0.0000,0.0000
567,0.0000,0.0005,0.0000,0.9869,0.0000,0.0000,0.0000,0.0000
568,0.0000,0.0005,0.0000,0.9908,0.0000,0.0000,0.0000,0.0000
569,0.0000,0.0007,0.0000,0.9800,0.0000,0.0000,0.0000,0.0000
570,0.0000,0.0007,0.0000,0.9758,0.0000,0.0000,0.0000,0.0000
571,0.0000,0.0007,0.0000,0.9760,0.0000,0.0000,0.0000,0.0000
